"TIME","GEO","UNIT","HAZARD","WASTE","WST_OPER","Value","Flag and Footnotes"
"2004","Germany (until 1990 former territory of the FRG)","Tonne","Hazardous and non-hazardous - Total","Total waste","Recovery - backfilling",":",""
"2004","Germany (until 1990 former territory of the FRG)","Tonne","Hazardous","Total waste","Waste treatment","20,556,732",""
"2004","Germany (until 1990 former territory of the FRG)","Tonne","Hazardous","Total waste","Disposal - landfill and other (D1-D7, D12)","5,570,009",""
"2004","Germany (until 1990 former territory of the FRG)","Tonne","Hazardous","Total waste","Disposal - landfill (D1, D5, D12)","4,760,823",""
"2004","Germany (until 1990 former territory of the FRG)","Tonne","Hazardous","Total waste","Disposal - incineration (D10)","1,436,474",""
"2004","Germany (until 1990 former territory of the FRG)","Tonne","Hazardous","Total waste","Disposal - other (D2-D4, D6-D7)","809,186",""
"2004","Germany (until 1990 former territory of the FRG)","Tonne","Hazardous","Total waste","Recovery - energy recovery (R1)","1,741,450",""
"2004","Germany (until 1990 former territory of the FRG)","Tonne","Hazardous","Total waste","Recovery - recycling and backfilling (R2-R11)","11,808,799",""
"2004","Germany (until 1990 former territory of the FRG)","Tonne","Hazardous","Total waste","Recovery - recycling",":",""
"2004","Germany (until 1990 former territory of the FRG)","Tonne","Hazardous","Total waste","Recovery - backfilling",":",""
"2004","Germany (until 1990 former territory of the FRG)","Tonne","Non-hazardous","Total waste","Waste treatment","325,444,435",""
"2004","Germany (until 1990 former territory of the FRG)","Tonne","Non-hazardous","Total waste","Disposal - landfill and other (D1-D7, D12)","100,792,493",""
"2004","Germany (until 1990 former territory of the FRG)","Tonne","Non-hazardous","Total waste","Disposal - landfill (D1, D5, D12)","100,709,583",""
"2004","Germany (until 1990 former territory of the FRG)","Tonne","Non-hazardous","Total waste","Disposal - incineration (D10)","13,093,112",""
"2004","Germany (until 1990 former territory of the FRG)","Tonne","Non-hazardous","Total waste","Disposal - other (D2-D4, D6-D7)","82,910",""
"2004","Germany (until 1990 former territory of the FRG)","Tonne","Non-hazardous","Total waste","Recovery - energy recovery (R1)","9,650,347",""
"2004","Germany (until 1990 former territory of the FRG)","Tonne","Non-hazardous","Total waste","Recovery - recycling and backfilling (R2-R11)","201,908,483",""
"2004","Germany (until 1990 former territory of the FRG)","Tonne","Non-hazardous","Total waste","Recovery - recycling",":",""
"2004","Germany (until 1990 former territory of the FRG)","Tonne","Non-hazardous","Total waste","Recovery - backfilling",":",""
"2004","Estonia","Tonne","Hazardous and non-hazardous - Total","Total waste","Waste treatment","15,410,921",""
"2004","Estonia","Tonne","Hazardous and non-hazardous - Total","Total waste","Disposal - landfill and other (D1-D7, D12)","11,536,612",""
"2004","Estonia","Tonne","Hazardous and non-hazardous - Total","Total waste","Disposal - landfill (D1, D5, D12)","11,532,595",""
"2004","Estonia","Tonne","Hazardous and non-hazardous - Total","Total waste","Disposal - incineration (D10)","2,457",""
"2004","Estonia","Tonne","Hazardous and non-hazardous - Total","Total waste","Disposal - other (D2-D4, D6-D7)","4,017",""
"2004","Estonia","Tonne","Hazardous and non-hazardous - Total","Total waste","Recovery - energy recovery (R1)","267,861",""
"2004","Estonia","Tonne","Hazardous and non-hazardous - Total","Total waste","Recovery - recycling and backfilling (R2-R11)","3,603,991",""
"2004","Estonia","Tonne","Hazardous and non-hazardous - Total","Total waste","Recovery - recycling",":",""
"2004","Estonia","Tonne","Hazardous and non-hazardous - Total","Total waste","Recovery - backfilling",":",""
"2004","Estonia","Tonne","Hazardous","Total waste","Waste treatment","7,180,381",""
"2004","Estonia","Tonne","Hazardous","Total waste","Disposal - landfill and other (D1-D7, D12)","6,643,259",""
"2004","Estonia","Tonne","Hazardous","Total waste","Disposal - landfill (D1, D5, D12)","6,642,961",""
